Attaching to dataclay_dspython_1
[36mdspython_1     |[0m --- Using global.properties at /home/dataclayusr/dataclay/cfgfiles/global.properties
[36mdspython_1     |[0m 2020-05-22 16:49:18,489 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.executionenv.ExecutionEnvironment] [INFO] [ExecutionEnvironment:152] Deployment of class classes.dClayBlock successful
[36mdspython_1     |[0m 2020-05-22 16:50:30,922 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.executionenv.ExecutionEnvironment] [DEBUG] [ExecutionEnvironment:368] Starting make persistent
[36mdspython_1     |[0m 2020-05-22 16:50:30,922 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.serialization.lib.DeserializationLibUtils] [VERBOSE] [DeserializationLibUtils:225] Deserializing volatile with object ID 68f240b4-e4fe-41ac-b784-3dc50b640758
[36mdspython_1     |[0m 2020-05-22 16:50:30,922 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.loader.DataClayObjectLoader] [VERBOSE] [ExecutionObjectLoader:200] Get or create new volatile instance in EE with object id 68f240b4-e4fe-41ac-b784-3dc50b640758 in Heap 
[36mdspython_1     |[0m 2020-05-22 16:50:30,923 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.heap.HeapManager] [DEBUG] [HeapManager:94] Miss in Heap object 68f240b4-e4fe-41ac-b784-3dc50b640758
[36mdspython_1     |[0m 2020-05-22 16:50:30,923 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.loader.DataClayObjectLoader] [DEBUG] [ExecutionObjectLoader:38] Creating an instance from the class: {3923c8d4-ec9f-4484-9c60-103ecb26ce86}
[36mdspython_1     |[0m 2020-05-22 16:50:30,931 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.loader.DataClayObjectLoader] [DEBUG] [ExecutionObjectLoader:43] MetaClassID {3923c8d4-ec9f-4484-9c60-103ecb26ce86}: full class name `classes.dClayBlock` | namespace `DemoNS`
[36mdspython_1     |[0m 2020-05-22 16:50:30,933 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.deployed_classes] [DEBUG] [__init__:9] Package path: /home/dataclayusr/dataclay/deploy/source/DemoNS
[36mdspython_1     |[0m 2020-05-22 16:50:30,936 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.deployed_classes] [DEBUG] [__init__:9] Package path: /home/dataclayusr/dataclay/deploy/source/DemoNS/classes
[36mdspython_1     |[0m 2020-05-22 16:50:30,937 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.DataClayObjMethods] [VERBOSE] [DataClayObjMethods:72] Preparing dataClay method `__str__` with arguments: {'return_': 'str'}
[36mdspython_1     |[0m 2020-05-22 16:50:30,937 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.DataClayObjMethods] [VERBOSE] [DataClayObjMethods:72] Preparing dataClay method `__array__` with arguments: {'return_': 'anything'}
[36mdspython_1     |[0m 2020-05-22 16:50:30,939 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.DataClayObjMethods] [VERBOSE] [DataClayObjMethods:72] Preparing dataClay method `__iter__` with arguments: {'return_': 'anything', '_local': True}
[36mdspython_1     |[0m 2020-05-22 16:50:30,940 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.DataClayObjMethods] [VERBOSE] [DataClayObjMethods:72] Preparing dataClay method `__setUpdate__` with arguments: {'obj': 'anything', 'property_name': 'str', 'value': 'anything', 'beforeUpdate': 'str', 'afterUpdate': 'str'}
[36mdspython_1     |[0m 2020-05-22 16:50:30,940 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.DataClayObjMethods] [VERBOSE] [DataClayObjMethods:72] Preparing dataClay method `__repr__` with arguments: {'return_': 'str'}
[36mdspython_1     |[0m 2020-05-22 16:50:30,941 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.DataClayObjMethods] [VERBOSE] [DataClayObjMethods:72] Preparing dataClay method `__init__` with arguments: {'block': 'anything'}
[36mdspython_1     |[0m 2020-05-22 16:50:30,942 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.DataClayObjMethods] [VERBOSE] [DataClayObjMethods:72] Preparing dataClay method `__setitem__` with arguments: {'index': <class 'int'>, 'value': 'anything'}
[36mdspython_1     |[0m 2020-05-22 16:50:30,944 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.DataClayObjMethods] [VERBOSE] [DataClayObjMethods:72] Preparing dataClay method `dataclay_block_apply` with arguments: {'func': 'anything', 'local_args': 'list<anything>', 'local_kw_args': 'dict<str,anything>', 'return_': 'anything'}
[36mdspython_1     |[0m 2020-05-22 16:50:30,945 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.DataClayObjMethods] [VERBOSE] [DataClayObjMethods:72] Preparing dataClay method `__getitem__` with arguments: {'key': <class 'int'>, 'return_': 'anything'}
[36mdspython_1     |[0m 2020-05-22 16:50:30,947 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.DataClayObjMethods] [VERBOSE] [DataClayObjMethods:72] Preparing dataClay method `__delitem__` with arguments: {'index': <class 'int'>}
[36mdspython_1     |[0m 2020-05-22 16:50:30,947 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.DataClayObjMethods] [VERBOSE] [DataClayObjMethods:72] Preparing dataClay method `__len__` with arguments: {'return_': <class 'int'>}
[36mdspython_1     |[0m 2020-05-22 16:50:30,949 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.commonruntime.ExecutionGateway] [VERBOSE] [ExecutionGateway:56] Initialization of class dClayBlock in module DemoNS.classes
[36mdspython_1     |[0m 2020-05-22 16:50:30,949 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.commonruntime.ExecutionGateway] [DEBUG] [ExecutionGateway:83] New dataClay instance (without __call__) of class `dClayBlock`
[36mdspython_1     |[0m 2020-05-22 16:50:30,949 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.DataClayObject] [DEBUG] [DataClayObject:299] Populating internal fields for the class. Provided kwargs: {'object_id': UUID('68f240b4-e4fe-41ac-b784-3dc50b640758')} deserializing=True
[36mdspython_1     |[0m 2020-05-22 16:50:30,950 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.DataClayObject] [VERBOSE] [DataClayObject:134] Proceeding to prepare the class `DemoNS.classes.dClayBlock` from the ExecutionGateway
[36mdspython_1     |[0m 2020-05-22 16:50:30,950 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.DataClayObject] [DEBUG] [DataClayObject:136] The RuntimeType is: not client
[36mdspython_1     |[0m 2020-05-22 16:50:30,950 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.DataClayObject] [VERBOSE] [DataClayObject:258] Seems that we are a DataService, proceeding to load class DemoNS.classes.dClayBlock
[36mdspython_1     |[0m 2020-05-22 16:50:30,950 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.DataClayObjProperties] [DEBUG] [DataClayObjProperties:33] Initializing DynamicProperty block
[36mdspython_1     |[0m 2020-05-22 16:50:30,950 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.DataClayObject] [VERBOSE] [DataClayObject:713] Deserializing object 68f240b4-e4fe-41ac-b784-3dc50b640758
[36mdspython_1     |[0m 2020-05-22 16:50:30,953 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.DataClayObject] [VERBOSE] [DataClayObject:766] Deserializing list of properties: [PreprocessedProperty(name='block', position=0, type=<dataclay.util.management.classmgr.Type.Type object at 0x7fcb541b0ef0>, beforeUpdate=None, afterUpdate=None, inMaster=False)]
[36mdspython_1     |[0m 2020-05-22 16:50:30,953 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.DataClayObject] [DEBUG] [DataClayObject:774] Not null property block
[36mdspython_1     |[0m 2020-05-22 16:50:31,179 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.DataClayObject] [DEBUG] [DataClayObject:790] Setting value [[1]
[36mdspython_1     |[0m  [4]] for property block
[36mdspython_1     |[0m 2020-05-22 16:50:31,180 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.DataClayObject] [VERBOSE] [DataClayObject:499] Setting loaded to `True` for object 68f240b4-e4fe-41ac-b784-3dc50b640758
[36mdspython_1     |[0m 2020-05-22 16:50:31,181 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.loader.DataClayObjectLoader] [DEBUG] [ExecutionObjectLoader:210] Object 68f240b4-e4fe-41ac-b784-3dc50b640758 deserialized
[36mdspython_1     |[0m 2020-05-22 16:50:31,181 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.DataClayObject] [VERBOSE] [DataClayObject:499] Setting loaded to `True` for object 68f240b4-e4fe-41ac-b784-3dc50b640758
[36mdspython_1     |[0m 2020-05-22 16:50:31,181 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.executionenv.ExecutionEnvironment] [DEBUG] [ExecutionEnvironment:370] Finished make persistent
[36mdspython_1     |[0m 2020-05-22 16:50:31,181 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.communication.grpc.server.ExecutionEnvironmentService] [VERBOSE] [ExecutionEnvironmentService:127] MakePersistent finished, sending response
[36mdspython_1     |[0m 2020-05-22 16:50:31,187 [MainProcess] [ThreadPoolExecutor-0_1] [dataclay.executionenv.ExecutionEnvironment] [DEBUG] [ExecutionEnvironment:368] Starting make persistent
[36mdspython_1     |[0m 2020-05-22 16:50:31,187 [MainProcess] [ThreadPoolExecutor-0_1] [dataclay.serialization.lib.DeserializationLibUtils] [VERBOSE] [DeserializationLibUtils:225] Deserializing volatile with object ID 565268d4-7989-433f-9017-099fb123c687
[36mdspython_1     |[0m 2020-05-22 16:50:31,188 [MainProcess] [ThreadPoolExecutor-0_1] [dataclay.loader.DataClayObjectLoader] [VERBOSE] [ExecutionObjectLoader:200] Get or create new volatile instance in EE with object id 565268d4-7989-433f-9017-099fb123c687 in Heap 
[36mdspython_1     |[0m 2020-05-22 16:50:31,188 [MainProcess] [ThreadPoolExecutor-0_1] [dataclay.heap.HeapManager] [DEBUG] [HeapManager:94] Miss in Heap object 565268d4-7989-433f-9017-099fb123c687
[36mdspython_1     |[0m 2020-05-22 16:50:31,188 [MainProcess] [ThreadPoolExecutor-0_1] [dataclay.loader.DataClayObjectLoader] [DEBUG] [ExecutionObjectLoader:38] Creating an instance from the class: {3923c8d4-ec9f-4484-9c60-103ecb26ce86}
[36mdspython_1     |[0m 2020-05-22 16:50:31,189 [MainProcess] [ThreadPoolExecutor-0_1] [dataclay.loader.DataClayObjectLoader] [DEBUG] [ExecutionObjectLoader:43] MetaClassID {3923c8d4-ec9f-4484-9c60-103ecb26ce86}: full class name `classes.dClayBlock` | namespace `DemoNS`
[36mdspython_1     |[0m 2020-05-22 16:50:31,189 [MainProcess] [ThreadPoolExecutor-0_1] [dataclay.commonruntime.ExecutionGateway] [DEBUG] [ExecutionGateway:83] New dataClay instance (without __call__) of class `dClayBlock`
[36mdspython_1     |[0m 2020-05-22 16:50:31,189 [MainProcess] [ThreadPoolExecutor-0_1] [dataclay.DataClayObject] [DEBUG] [DataClayObject:299] Populating internal fields for the class. Provided kwargs: {'object_id': UUID('565268d4-7989-433f-9017-099fb123c687')} deserializing=True
[36mdspython_1     |[0m 2020-05-22 16:50:31,190 [MainProcess] [ThreadPoolExecutor-0_1] [dataclay.DataClayObject] [VERBOSE] [DataClayObject:713] Deserializing object 565268d4-7989-433f-9017-099fb123c687
[36mdspython_1     |[0m 2020-05-22 16:50:31,190 [MainProcess] [ThreadPoolExecutor-0_1] [dataclay.DataClayObject] [VERBOSE] [DataClayObject:766] Deserializing list of properties: [PreprocessedProperty(name='block', position=0, type=<dataclay.util.management.classmgr.Type.Type object at 0x7fcb541b0ef0>, beforeUpdate=None, afterUpdate=None, inMaster=False)]
[36mdspython_1     |[0m 2020-05-22 16:50:31,191 [MainProcess] [ThreadPoolExecutor-0_1] [dataclay.DataClayObject] [DEBUG] [DataClayObject:774] Not null property block
[36mdspython_1     |[0m 2020-05-22 16:50:31,191 [MainProcess] [ThreadPoolExecutor-0_1] [dataclay.DataClayObject] [DEBUG] [DataClayObject:790] Setting value [[2]
[36mdspython_1     |[0m  [5]] for property block
[36mdspython_1     |[0m 2020-05-22 16:50:31,192 [MainProcess] [ThreadPoolExecutor-0_1] [dataclay.DataClayObject] [VERBOSE] [DataClayObject:499] Setting loaded to `True` for object 565268d4-7989-433f-9017-099fb123c687
[36mdspython_1     |[0m 2020-05-22 16:50:31,192 [MainProcess] [ThreadPoolExecutor-0_1] [dataclay.loader.DataClayObjectLoader] [DEBUG] [ExecutionObjectLoader:210] Object 565268d4-7989-433f-9017-099fb123c687 deserialized
[36mdspython_1     |[0m 2020-05-22 16:50:31,192 [MainProcess] [ThreadPoolExecutor-0_1] [dataclay.DataClayObject] [VERBOSE] [DataClayObject:499] Setting loaded to `True` for object 565268d4-7989-433f-9017-099fb123c687
[36mdspython_1     |[0m 2020-05-22 16:50:31,193 [MainProcess] [ThreadPoolExecutor-0_1] [dataclay.executionenv.ExecutionEnvironment] [DEBUG] [ExecutionEnvironment:370] Finished make persistent
[36mdspython_1     |[0m 2020-05-22 16:50:31,193 [MainProcess] [ThreadPoolExecutor-0_1] [dataclay.communication.grpc.server.ExecutionEnvironmentService] [VERBOSE] [ExecutionEnvironmentService:127] MakePersistent finished, sending response
[36mdspython_1     |[0m 2020-05-22 16:50:31,196 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.executionenv.ExecutionEnvironment] [DEBUG] [ExecutionEnvironment:368] Starting make persistent
[36mdspython_1     |[0m 2020-05-22 16:50:31,197 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.serialization.lib.DeserializationLibUtils] [VERBOSE] [DeserializationLibUtils:225] Deserializing volatile with object ID 7c1d0f28-7465-4f21-bcf5-ecd50dc6ef2e
[36mdspython_1     |[0m 2020-05-22 16:50:31,197 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.loader.DataClayObjectLoader] [VERBOSE] [ExecutionObjectLoader:200] Get or create new volatile instance in EE with object id 7c1d0f28-7465-4f21-bcf5-ecd50dc6ef2e in Heap 
[36mdspython_1     |[0m 2020-05-22 16:50:31,197 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.heap.HeapManager] [DEBUG] [HeapManager:94] Miss in Heap object 7c1d0f28-7465-4f21-bcf5-ecd50dc6ef2e
[36mdspython_1     |[0m 2020-05-22 16:50:31,197 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.loader.DataClayObjectLoader] [DEBUG] [ExecutionObjectLoader:38] Creating an instance from the class: {3923c8d4-ec9f-4484-9c60-103ecb26ce86}
[36mdspython_1     |[0m 2020-05-22 16:50:31,197 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.loader.DataClayObjectLoader] [DEBUG] [ExecutionObjectLoader:43] MetaClassID {3923c8d4-ec9f-4484-9c60-103ecb26ce86}: full class name `classes.dClayBlock` | namespace `DemoNS`
[36mdspython_1     |[0m 2020-05-22 16:50:31,197 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.commonruntime.ExecutionGateway] [DEBUG] [ExecutionGateway:83] New dataClay instance (without __call__) of class `dClayBlock`
[36mdspython_1     |[0m 2020-05-22 16:50:31,197 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.DataClayObject] [DEBUG] [DataClayObject:299] Populating internal fields for the class. Provided kwargs: {'object_id': UUID('7c1d0f28-7465-4f21-bcf5-ecd50dc6ef2e')} deserializing=True
[36mdspython_1     |[0m 2020-05-22 16:50:31,197 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.DataClayObject] [VERBOSE] [DataClayObject:713] Deserializing object 7c1d0f28-7465-4f21-bcf5-ecd50dc6ef2e
[36mdspython_1     |[0m 2020-05-22 16:50:31,197 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.DataClayObject] [VERBOSE] [DataClayObject:766] Deserializing list of properties: [PreprocessedProperty(name='block', position=0, type=<dataclay.util.management.classmgr.Type.Type object at 0x7fcb541b0ef0>, beforeUpdate=None, afterUpdate=None, inMaster=False)]
[36mdspython_1     |[0m 2020-05-22 16:50:31,198 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.DataClayObject] [DEBUG] [DataClayObject:774] Not null property block
[36mdspython_1     |[0m 2020-05-22 16:50:31,198 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.DataClayObject] [DEBUG] [DataClayObject:790] Setting value [[3]
[36mdspython_1     |[0m  [6]] for property block
[36mdspython_1     |[0m 2020-05-22 16:50:31,198 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.DataClayObject] [VERBOSE] [DataClayObject:499] Setting loaded to `True` for object 7c1d0f28-7465-4f21-bcf5-ecd50dc6ef2e
[36mdspython_1     |[0m 2020-05-22 16:50:31,198 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.loader.DataClayObjectLoader] [DEBUG] [ExecutionObjectLoader:210] Object 7c1d0f28-7465-4f21-bcf5-ecd50dc6ef2e deserialized
[36mdspython_1     |[0m 2020-05-22 16:50:31,198 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.DataClayObject] [VERBOSE] [DataClayObject:499] Setting loaded to `True` for object 7c1d0f28-7465-4f21-bcf5-ecd50dc6ef2e
[36mdspython_1     |[0m 2020-05-22 16:50:31,198 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.executionenv.ExecutionEnvironment] [DEBUG] [ExecutionEnvironment:370] Finished make persistent
[36mdspython_1     |[0m 2020-05-22 16:50:31,199 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.communication.grpc.server.ExecutionEnvironmentService] [VERBOSE] [ExecutionEnvironmentService:127] MakePersistent finished, sending response
[36mdspython_1     |[0m 2020-05-22 16:50:31,258 [MainProcess] [ThreadPoolExecutor-0_1] [dataclay.executionenv.ExecutionEnvironment] [DEBUG] [ExecutionEnvironment:368] Starting make persistent
[36mdspython_1     |[0m 2020-05-22 16:50:31,263 [MainProcess] [ThreadPoolExecutor-0_1] [dataclay.serialization.lib.DeserializationLibUtils] [VERBOSE] [DeserializationLibUtils:225] Deserializing volatile with object ID f02cbef9-36d9-4073-8072-5f0b3e96643e
[36mdspython_1     |[0m 2020-05-22 16:50:31,263 [MainProcess] [ThreadPoolExecutor-0_1] [dataclay.loader.DataClayObjectLoader] [VERBOSE] [ExecutionObjectLoader:200] Get or create new volatile instance in EE with object id f02cbef9-36d9-4073-8072-5f0b3e96643e in Heap 
[36mdspython_1     |[0m 2020-05-22 16:50:31,263 [MainProcess] [ThreadPoolExecutor-0_1] [dataclay.heap.HeapManager] [DEBUG] [HeapManager:94] Miss in Heap object f02cbef9-36d9-4073-8072-5f0b3e96643e
[36mdspython_1     |[0m 2020-05-22 16:50:31,263 [MainProcess] [ThreadPoolExecutor-0_1] [dataclay.loader.DataClayObjectLoader] [DEBUG] [ExecutionObjectLoader:38] Creating an instance from the class: {3923c8d4-ec9f-4484-9c60-103ecb26ce86}
[36mdspython_1     |[0m 2020-05-22 16:50:31,263 [MainProcess] [ThreadPoolExecutor-0_1] [dataclay.loader.DataClayObjectLoader] [DEBUG] [ExecutionObjectLoader:43] MetaClassID {3923c8d4-ec9f-4484-9c60-103ecb26ce86}: full class name `classes.dClayBlock` | namespace `DemoNS`
[36mdspython_1     |[0m 2020-05-22 16:50:31,263 [MainProcess] [ThreadPoolExecutor-0_1] [dataclay.commonruntime.ExecutionGateway] [DEBUG] [ExecutionGateway:83] New dataClay instance (without __call__) of class `dClayBlock`
[36mdspython_1     |[0m 2020-05-22 16:50:31,263 [MainProcess] [ThreadPoolExecutor-0_1] [dataclay.DataClayObject] [DEBUG] [DataClayObject:299] Populating internal fields for the class. Provided kwargs: {'object_id': UUID('f02cbef9-36d9-4073-8072-5f0b3e96643e')} deserializing=True
[36mdspython_1     |[0m 2020-05-22 16:50:31,263 [MainProcess] [ThreadPoolExecutor-0_1] [dataclay.DataClayObject] [VERBOSE] [DataClayObject:713] Deserializing object f02cbef9-36d9-4073-8072-5f0b3e96643e
[36mdspython_1     |[0m 2020-05-22 16:50:31,263 [MainProcess] [ThreadPoolExecutor-0_1] [dataclay.DataClayObject] [VERBOSE] [DataClayObject:766] Deserializing list of properties: [PreprocessedProperty(name='block', position=0, type=<dataclay.util.management.classmgr.Type.Type object at 0x7fcb541b0ef0>, beforeUpdate=None, afterUpdate=None, inMaster=False)]
[36mdspython_1     |[0m 2020-05-22 16:50:31,264 [MainProcess] [ThreadPoolExecutor-0_1] [dataclay.DataClayObject] [DEBUG] [DataClayObject:774] Not null property block
[36mdspython_1     |[0m 2020-05-22 16:50:31,304 [MainProcess] [ThreadPoolExecutor-0_1] [dataclay.DataClayObject] [DEBUG] [DataClayObject:790] Setting value   (0, 0)	1
[36mdspython_1     |[0m   (1, 0)	4 for property block
[36mdspython_1     |[0m 2020-05-22 16:50:31,305 [MainProcess] [ThreadPoolExecutor-0_1] [dataclay.DataClayObject] [VERBOSE] [DataClayObject:499] Setting loaded to `True` for object f02cbef9-36d9-4073-8072-5f0b3e96643e
[36mdspython_1     |[0m 2020-05-22 16:50:31,305 [MainProcess] [ThreadPoolExecutor-0_1] [dataclay.loader.DataClayObjectLoader] [DEBUG] [ExecutionObjectLoader:210] Object f02cbef9-36d9-4073-8072-5f0b3e96643e deserialized
[36mdspython_1     |[0m 2020-05-22 16:50:31,305 [MainProcess] [ThreadPoolExecutor-0_1] [dataclay.DataClayObject] [VERBOSE] [DataClayObject:499] Setting loaded to `True` for object f02cbef9-36d9-4073-8072-5f0b3e96643e
[36mdspython_1     |[0m 2020-05-22 16:50:31,306 [MainProcess] [ThreadPoolExecutor-0_1] [dataclay.executionenv.ExecutionEnvironment] [DEBUG] [ExecutionEnvironment:370] Finished make persistent
[36mdspython_1     |[0m 2020-05-22 16:50:31,306 [MainProcess] [ThreadPoolExecutor-0_1] [dataclay.communication.grpc.server.ExecutionEnvironmentService] [VERBOSE] [ExecutionEnvironmentService:127] MakePersistent finished, sending response
[36mdspython_1     |[0m 2020-05-22 16:50:31,308 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.executionenv.ExecutionEnvironment] [DEBUG] [ExecutionEnvironment:368] Starting make persistent
[36mdspython_1     |[0m 2020-05-22 16:50:31,309 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.serialization.lib.DeserializationLibUtils] [VERBOSE] [DeserializationLibUtils:225] Deserializing volatile with object ID a11b7f23-2b53-46ec-a46b-9983e72c438d
[36mdspython_1     |[0m 2020-05-22 16:50:31,309 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.loader.DataClayObjectLoader] [VERBOSE] [ExecutionObjectLoader:200] Get or create new volatile instance in EE with object id a11b7f23-2b53-46ec-a46b-9983e72c438d in Heap 
[36mdspython_1     |[0m 2020-05-22 16:50:31,309 [MainProcess] [ThreadPoolExecutor-0_0] [dataclay.heap.HeapManager] [DEBUG] [HeapManager:94] Miss in Heap object a11b7f23-2b53-46ec-a46b-9983e72c438d
